0,1,2,3,4,5,6,7,8,9,10,Overs
20.1,20.1,20.1,20,19.9,19.3,17.9,14.4,7.7,1.8,0,10
20.5,20.5,20.4,20.4,20.2,19.7,18.2,14.6,7.8,1.8,0,10.1
20.8,20.8,20.8,20.7,20.5,20,18.5,14.8,7.8,1.8,0,10.2
21.1,21.1,21.1,21,20.8,20.3,18.7,14.9,7.8,1.8,0,10.3
21.5,21.5,21.4,21.4,21.2,20.6,19,15.1,7.9,1.8,0,10.4
21.8,21.8,21.8,21.7,21.5,20.9,19.2,15.2,7.9,1.8,0,10.5
,,,,,,,,,,,10.6
,,,,,,,,,,,10.7
,,,,,,,,,,,10.8
,,,,,,,,,,,10.9
22.1,22.1,22.1,22,21.8,21.2,19.5,15.4,7.9,1.8,0,11
22.5,22.5,22.4,22.4,22.1,21.5,19.8,15.5,7.9,1.8,0,11.1
22.8,22.8,22.8,22.7,22.5,21.8,20,15.7,8,1.8,0,11.2
23.1,23.1,23.1,23,22.8,22.1,20.3,15.8,8,1.8,0,11.3
23.5,23.5,23.4,23.3,23.1,22.4,20.5,16,8,1.8,0,11.4
23.8,23.8,23.8,23.7,23.4,22.7,20.8,16.1,8,1.8,0,11.5
,,,,,,,,,,,11.6
,,,,,,,,,,,11.7
,,,,,,,,,,,11.8
,,,,,,,,,,,11.9
24.1,24.1,24.1,24,23.8,23,21,16.3,8,1.8,0,12
24.5,24.5,24.4,24.3,24.1,23.3,21.3,16.4,8.1,1.8,0,12.1
24.8,24.8,24.8,24.7,24.4,23.6,21.5,16.6,8.1,1.8,0,12.2
25.1,25.1,25.1,25,24.7,23.9,21.8,16.7,8.1,1.8,0,12.3
25.5,25.5,25.4,25.3,25,24.2,22,16.8,8.1,1.8,0,12.4
25.8,25.8,25.8,25.7,25.4,24.5,22.3,17,8.1,1.8,0,12.5
,,,,,,,,,,,12.6
,,,,,,,,,,,12.7
,,,,,,,,,,,12.8
,,,,,,,,,,,12.9
26.1,26.1,26.1,26,25.7,24.8,22.5,17.1,8.2,1.8,0,13
26.5,26.5,26.4,26.3,26,25.1,22.8,17.2,8.2,1.8,0,13.1
26.8,26.8,26.8,26.6,26.3,25.4,23,17.4,8.2,1.8,0,13.2
27.1,27.1,27.1,27,26.7,25.7,23.3,17.5,8.2,1.8,0,13.3
27.5,27.5,27.4,27.3,27,26,23.5,17.6,8.2,1.8,0,13.4
27.8,27.8,27.8,27.6,27.3,26.3,23.7,17.7,8.2,1.8,0,13.5
,,,,,,,,,,,13.6
,,,,,,,,,,,13.7
,,,,,,,,,,,13.8
,,,,,,,,,,,13.9
28.1,28.1,28.1,28,27.6,26.6,24,17.9,8.2,1.8,0,14
28.5,28.5,28.4,28.3,27.9,26.9,24.2,18,8.3,1.8,0,14.1
28.8,28.8,28.8,28.6,28.3,27.2,24.5,18.1,8.3,1.8,0,14.2
29.1,29.1,29.1,29,28.6,27.5,24.7,18.2,8.3,1.8,0,14.3
29.5,29.5,29.4,29.3,28.9,27.8,24.9,18.4,8.3,1.8,0,14.4
29.8,29.8,29.8,29.6,29.2,28.1,25.2,18.5,8.3,1.8,0,14.5
,,,,,,,,,,,14.6
,,,,,,,,,,,14.7
,,,,,,,,,,,14.8
,,,,,,,,,,,14.9
30.2,30.1,30.1,29.9,29.5,28.4,25.4,18.6,8.3,1.8,0,15
30.5,30.5,30.4,30.3,29.9,28.7,25.6,18.7,8.3,1.8,0,15.1
30.8,30.8,30.7,30.6,30.2,29,25.9,18.8,8.3,1.8,0,15.2
31.2,31.1,31.1,30.9,30.5,29.3,26.1,18.9,8.3,1.8,0,15.3
31.5,31.5,31.4,31.3,30.8,29.6,26.3,19,8.3,1.8,0,15.4
31.8,31.8,31.7,31.6,31.1,29.9,26.6,19.2,8.3,1.8,0,15.5
,,,,,,,,,,,15.6
,,,,,,,,,,,15.7
,,,,,,,,,,,15.8
,,,,,,,,,,,15.9
32.2,32.1,32.1,31.9,31.5,30.2,26.8,19.3,8.4,1.8,0,16
32.5,32.5,32.4,32.2,31.8,30.5,27,19.4,8.4,1.8,0,16.1
32.8,32.8,32.7,32.6,32.1,30.8,27.3,19.5,8.4,1.8,0,16.2
33.2,33.1,33.1,32.9,32.4,31.1,27.5,19.6,8.4,1.8,0,16.3
33.5,33.5,33.4,33.2,32.7,31.4,27.7,19.7,8.4,1.8,0,16.4
33.8,33.8,33.7,33.6,33.1,31.6,27.9,19.8,8.4,1.8,0,16.5
,,,,,,,,,,,16.6
,,,,,,,,,,,16.7
,,,,,,,,,,,16.8
,,,,,,,,,,,16.9
34.2,34.1,34.1,33.9,33.4,31.9,28.2,19.9,8.4,1.8,0,17
34.5,34.5,34.4,34.2,33.7,32.2,28.4,20,8.4,1.8,0,17.1
