0,1,2,3,4,5,6,7,8,9,10,Overs
,,,,,,,,,,,42.6
,,,,,,,,,,,42.7
,,,,,,,,,,,42.8
,,,,,,,,,,,42.9
86.1,85.9,85.5,84.4,81.3,72.9,54.3,27.1,8.6,1.8,0,43
86.4,86.2,85.8,84.7,81.6,73.1,54.4,27.1,8.6,1.8,0,43.1
86.7,86.6,86.2,85,81.9,73.4,54.5,27.1,8.6,1.8,0,43.2
87.1,86.9,86.5,85.4,82.1,73.6,54.6,27.1,8.6,1.8,0,43.3
87.4,87.2,86.8,85.7,82.4,73.8,54.7,27.1,8.6,1.8,0,43.4
87.7,87.6,87.2,86,82.7,74.1,54.9,27.1,8.6,1.8,0,43.5
,,,,,,,,,,,43.6
,,,,,,,,,,,43.7
,,,,,,,,,,,43.8
,,,,,,,,,,,43.9
88.1,87.9,87.5,86.3,83,74.3,55,27.2,8.6,1.8,0,44
88.4,88.2,87.8,86.6,83.3,74.5,55.1,27.2,8.6,1.8,0,44.1
88.7,88.6,88.1,87,83.6,74.8,55.2,27.2,8.6,1.8,0,44.2
89,88.9,88.5,87.3,83.9,75,55.3,27.2,8.6,1.8,0,44.3
89.4,89.2,88.8,87.6,84.2,75.2,55.4,27.2,8.6,1.8,0,44.4
89.7,89.6,89.1,87.9,84.5,75.5,55.6,27.2,8.6,1.8,0,44.5
,,,,,,,,,,,44.6
,,,,,,,,,,,44.7
,,,,,,,,,,,44.8
,,,,,,,,,,,44.9
90,89.9,89.5,88.2,84.8,75.7,55.7,27.2,8.6,1.8,0,45
90.4,90.2,89.8,88.5,85.1,75.9,55.8,27.3,8.6,1.8,0,45.1
90.7,90.5,90.1,88.9,85.4,76.2,55.9,27.3,8.6,1.8,0,45.2
91,90.9,90.4,89.2,85.7,76.4,56,27.3,8.6,1.8,0,45.3
91.4,91.2,90.8,89.5,86,76.6,56.1,27.3,8.6,1.8,0,45.4
91.7,91.5,91.1,89.8,86.3,76.8,56.3,27.3,8.6,1.8,0,45.5
,,,,,,,,,,,45.6
,,,,,,,,,,,45.7
,,,,,,,,,,,45.8
,,,,,,,,,,,45.9
92,91.9,91.4,90.1,86.6,77.1,56.4,27.3,8.6,1.8,0,46
92.4,92.2,91.7,90.5,86.9,77.3,56.5,27.3,8.6,1.8,0,46.1
92.7,92.5,92.1,90.8,87.1,77.5,56.6,27.4,8.6,1.8,0,46.2
93,92.9,92.4,91.1,87.4,77.8,56.7,27.4,8.6,1.8,0,46.3
93.4,93.2,92.7,91.4,87.7,78,56.8,27.4,8.6,1.8,0,46.4
93.7,93.5,93.1,91.7,88,78.2,56.9,27.4,8.6,1.8,0,46.5
,,,,,,,,,,,46.6
,,,,,,,,,,,46.7
,,,,,,,,,,,46.8
,,,,,,,,,,,46.9
94,93.9,93.4,92,88.3,78.5,57,27.4,8.6,1.8,0,47
94.4,94.2,93.7,92.4,88.6,78.7,57.1,27.4,8.6,1.8,0,47.1
94.7,94.5,94,92.7,88.9,78.9,57.3,27.4,8.6,1.8,0,47.2
95,94.8,94.4,93,89.2,79.1,57.4,27.4,8.6,1.8,0,47.3
95.4,95.2,94.7,93.3,89.5,79.4,57.5,27.5,8.6,1.8,0,47.4
95.7,95.5,95,93.6,89.8,79.6,57.6,27.5,8.6,1.8,0,47.5
,,,,,,,,,,,47.6
,,,,,,,,,,,47.7
,,,,,,,,,,,47.8
,,,,,,,,,,,47.9
96,95.8,95.3,94,90.1,79.8,57.7,27.5,8.6,1.8,0,48
96.4,96.2,95.7,94.3,90.4,80,57.8,27.5,8.6,1.8,0,48.1
96.7,96.5,96,94.6,90.7,80.3,57.9,27.5,8.6,1.8,0,48.2
97,96.8,96.3,94.9,90.9,80.5,58,27.5,8.6,1.8,0,48.3
97.3,97.2,96.7,95.2,91.2,80.7,58.1,27.5,8.6,1.8,0,48.4
97.7,97.5,97,95.5,91.5,80.9,58.2,27.5,8.6,1.8,0,48.5
,,,,,,,,,,,48.6
,,,,,,,,,,,48.7
,,,,,,,,,,,48.8
,,,,,,,,,,,48.9
98,97.8,97.3,95.9,91.8,81.2,58.3,27.5,8.6,1.8,0,49
98.3,98.2,97.6,96.2,92.1,81.4,58.4,27.6,8.6,1.8,0,49.1
98.7,98.5,98,96.5,92.4,81.6,58.5,27.6,8.6,1.8,0,49.2
99,98.8,98.3,96.8,92.7,81.8,58.6,27.6,8.6,1.8,0,49.3
99.3,99.1,98.6,97.1,93,82.1,58.8,27.6,8.6,1.8,0,49.4
99.7,99.5,98.9,97.4,93.3,82.3,58.9,27.6,8.6,1.8,0,49.5
,,,,,,,,,,,49.6
,,,,,,,,,,,49.7
,,,,,,,,,,,49.8
,,,,,,,,,,,49.9
100,99.8,99.3,97.8,93.6,82.5,59,27.6,8.6,1.8,0,50
